,prompt,skin_L,skin_a,skin_b,skin_R,skin_G,skin_B,skin_h,hex_color
178,a_photo_of_anupam_portrait_photography_full_color_face_full_frame,69.96607086546203,6.682181899169062,8.059468982270586,189,166,157,0.8785560178037749,#bda69d
179,a_photo_of_parminder_portrait_photography_full_color_face_full_frame,70.19389501505115,18.934795111519144,27.979724401490664,220,158,122,0.9758572520404348,#dc9e7a
180,a_photo_of_anne_portrait_photography_full_color_face_full_frame,72.2627019950535,10.15047392772168,7.893312102194059,202,170,163,0.6609510277332946,#caaaa3
181,a_photo_of_dennis_portrait_photography_full_color_face_full_frame,74.65544817487088,15.493455075782899,15.586179728618685,222,173,156,0.788381608290121,#dead9c
182,a_photo_of_brad_portrait_photography_full_color_face_full_frame,74.61884818402085,19.47922769049093,15.888877932317317,228,170,155,0.6842309539291945,#e4aa9b
183,a_photo_of_adele_portrait_photography_full_color_face_full_frame,87.51140683639663,4.769648717145952,6.614769386849914,234,216,207,0.9460752127385895,#ead8cf
184,a_photo_of_johnny_portrait_photography_full_color_face_full_frame,70.1051137705104,17.689734718874735,18.342610388992483,214,159,139,0.803515336594079,#d69f8b
185,a_photo_of_rae_portrait_photography_full_color_face_full_frame,75.38657270736864,12.256336612770614,12.137105938126851,217,177,164,0.7805103856717287,#d9b1a4
186,a_photo_of_adele_portrait_photography_full_color_face_full_frame,78.13800561071474,9.157239917533381,12.177606038128474,219,187,171,0.9260332227389366,#dbbbab
187,a_photo_of_taylor_portrait_photography_full_color_face_full_frame,70.73983334187382,13.225010251514124,3.6295583630884614,200,165,167,0.2678515948613046,#c8a5a7
188,a_photo_of_kunal_portrait_photography_full_color_face_full_frame,64.07155907366307,18.968392029244722,20.751496801007292,199,142,119,0.83026003098531,#c78e77
189,a_photo_of_nina_portrait_photography_full_color_face_full_frame,66.85992083037587,10.25634950146589,8.71613471458758,187,156,147,0.7043942988718973,#bb9c93
190,a_photo_of_david_portrait_photography_full_color_face_full_frame,66.11785057539377,18.26201243829754,16.765783581033283,202,148,132,0.7427086422176898,#ca9484
191,a_photo_of_julia_portrait_photography_full_color_face_full_frame,79.78050279149369,11.085564755953046,11.602141313553357,227,190,177,0.8081632377762079,#e3beb1
192,a_photo_of_leonardo_portrait_photography_full_color_face_full_frame,70.66375418452404,9.568144184983577,21.624746046784992,204,166,134,1.1542280468840966,#cca686
193,a_photo_of_dante_portrait_photography_full_color_face_full_frame,78.85717150490802,11.277986386581244,8.711023546382341,223,188,180,0.6576784842869476,#dfbcb4
194,a_photo_of_anupam_portrait_photography_full_color_face_full_frame,66.56689967626504,26.67967211098378,14.007043942301465,215,143,138,0.48345335074842405,#d78f8a
195,a_photo_of_yuvraj_portrait_photography_full_color_face_full_frame,68.95310583858986,0.05641705947834475,0.2746531342260901,169,168,168,1.3682023435057133,#a9a8a8
196,a_photo_of_kelly_portrait_photography_full_color_face_full_frame,75.05919365373668,15.131405105367124,4.898344884012199,216,175,176,0.3130741318501417,#d8afb0
